Date,S&P500,CRIX,TLT,EEM,VNQ,VEA,BCOM,EURUSD,GBPUSD,CHFUSD,CADUSD,JPYUSD,SEKUSD
2015-05-29,2120.659912,427.7956212,123.230003,41.450001,79.93,41.560001,100.9465,1.095794,1.53191,1.060648,0.80492,0.008077,0.118263
2015-06-01,2108.639893,399.1722862,122.110001,41.139999,79.389999,41.459999,101.0561,1.095902,1.528795,1.062248,0.802594,0.008049,0.116956
2015-06-02,2110.409912,404.1700529,120.169998,40.919998,79.760002,41.330002,102.0676,1.092275,1.51978,1.057094,0.798397,0.008009,0.116561
2015-06-03,2110.639893,404.104152,118.389999,40.939999,79.150002,41.529999,100.9914,1.114827,1.533507,1.07118,0.805607,0.008061,0.118444
2015-06-04,2112.350098,401.6024913,118.260002,40.549999,78.150002,41.330002,100.0515,1.126228,1.532684,1.07032,0.802761,0.008044,0.120301
2015-06-05,2095.090088,403.4990589,117.839996,39.98,77.050003,40.639999,100.2458,1.121604,1.53624,1.069862,0.800384,0.008041,0.120607
2015-06-08,2092.340088,410.0379202,117.959999,40.169998,77.199997,40.66,100.6041,1.110543,1.526531,1.063264,0.802459,0.007962,0.119195
2015-06-09,2079.070068,411.3156762,117.059998,39.939999,76.82,40.48,102.1749,1.128197,1.534495,1.078283,0.805737,0.008026,0.120485
2015-06-10,2081.120117,410.4231949,115.919998,40.240002,76.470001,41.009998,102.712,1.129331,1.538722,1.075038,0.810438,0.00804,0.120696
2015-06-11,2106.23999,411.7944691,116.559998,40.34,77.620003,41.43,101.4942,1.131299,1.550003,1.072662,0.814458,0.008135,0.120885
2015-06-12,2107.429932,412.5752424,117.589996,40.25,77.239998,40.919998,100.5809,1.124505,1.551807,1.070893,0.813537,0.008091,0.121794
2015-06-15,2091.340088,425.8897857,118.889999,39.759998,77.379997,40.580002,100.2693,1.121793,1.556105,1.0755,0.812084,0.008107,0.12193
2015-06-16,2084.26001,450.9443433,118.610001,39.650002,77.099998,40.59,100.5206,1.127701,1.559697,1.0755,0.812018,0.008101,0.122555
2015-06-17,2097.399902,447.3250689,118.5,39.810001,77.709999,40.650002,100.523,1.12424,1.564211,1.073307,0.813405,0.008101,0.122342
2015-06-18,2101.580078,451.9165876,117.370003,40.349998,78.360001,40.779999,100.6035,1.136415,1.584811,1.085776,0.817661,0.008094,0.123473
2015-06-19,2121.060059,446.2731759,118.510002,40.220001,79.440002,41.040001,99.8353,1.137294,1.588007,1.085541,0.817976,0.008128,0.123137
2015-06-22,2112.5,450.5259591,117.839996,40.75,78.779999,41.709999,100.0458,1.136235,1.587302,1.088969,0.814664,0.008144,0.123173
2015-06-23,2123.159912,445.1434389,115.730003,40.799999,77.650002,41.810001,100.7234,1.134623,1.582804,1.08494,0.81213,0.008103,0.122833
2015-06-24,2123.649902,440.2945765,116.510002,41,77.349998,41.650002,100.468,1.117706,1.573911,1.071352,0.811517,0.008073,0.121184
2015-06-25,2109.959961,443.8224784,116.589996,40.5,77,41.669998,100.9008,1.120712,1.570549,1.071237,0.807441,0.008074,0.121403
2015-06-26,2102.620117,444.5299633,115.669998,39.950001,75.300003,41.009998,101.1317,1.120385,1.574803,1.067806,0.810944,0.008091,0.121269
2015-06-29,2098.629883,470.3657359,116.959999,39.290001,75.620003,40.150002,100.7349,1.098298,1.569612,1.063762,0.809618,0.008166,0.119004
2015-06-30,2061.189941,478.1724949,117.400002,39.740002,75.129997,40.150002,102.6892,1.121604,1.572995,1.080147,0.805639,0.008149,0.121542
2015-07-01,2067,469.1141492,115.82,39.84,74.379997,40.119999,101.6029,1.113499,1.568997,1.069359,0.801545,0.008169,0.120542
2015-07-02,2078.030029,463.9785672,116.32,39.830002,76.459999,40.099998,101.8648,1.103704,1.560525,1.054185,0.794319,0.008109,0.119183
2015-07-06,2073.949951,482.6239269,118.050003,38.720001,75.730003,39.18,99.1078,1.099795,1.5555,1.059322,0.792927,0.00817,0.117429
2015-07-07,2069.52002,476.5071078,119.660004,37.939999,77,38.91,97.5994,1.104802,1.560111,1.060423,0.789889,0.008153,0.118076
2015-07-08,2077.659912,482.7691019,120.019997,37.080002,77.370003,38.529999,97.8443,1.100994,1.546097,1.056468,0.786164,0.008161,0.117381
